S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,15186925,151038144:3003,151038144:54262,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,15186926,151038144:3003,151038144:54262,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,15186935,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,15186965,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,15186985,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,15186985,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    3,    1,Unknown,472,15186985,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,15187015,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,15187015,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,15187045,151038144:3003,151038144:54262,0,0,0,2,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,15187045,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,15187045,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,15187075,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    6,Unknown,472,15187075,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,15187075,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    7,    4,Unknown,1384,15187095,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,    9,Unknown,288,15187155,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    8,    5,ID_INTERNAL_PING,40,15192103,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,   11,ID_CONNECTED_PONG,72,15192132,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,   12,ID_INTERNAL_PING,40,15192172,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    9,    6,ID_CONNECTED_PONG,72,15192193,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,   10,    7,Unknown,128,15192513,151038144:3003,151038144:54262,0,0,0,4,
Snd,Nrm,4294967295,   15,Unknown,9840,15192606,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,   15,Unknown,144,15192606,151038144:3003,151038144:54262,0,0,0,6,
Snd,Nrm,4294967295,   15,Unknown,144,15192606,151038144:3003,151038144:54262,0,0,0,7,
Snd,Nrm,4294967295,   15,Unknown,184,15192606,151038144:3003,151038144:54262,0,0,0,8,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_CONSTRUCTION,3828,15192606,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_SCOPE_CHANGE,25,15192606,151038144:3003,151038144:54262,0,0,0,4,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_SERIALIZE,1078,15192606,151038144:3003,151038144:54262,0,0,0,5,
Rcv,Nrm,   11,    8,Unknown,216,15192663,151038144:3003,151038144:54262,0,0,0,5,
Rcv,Nrm,   12,    8,Unknown,216,15192663,151038144:3003,151038144:54262,0,0,0,6,
Rcv,Nrm,   13,    9,Unknown,216,15192703,151038144:3003,151038144:54262,0,0,0,7,
Rcv,Nrm,   14,    9,Unknown,152,15192703,151038144:3003,151038144:54262,0,0,0,8,
Snd,Nrm,4294967295,   19,Unknown,1640,15192733,151038144:3003,151038144:54262,0,0,0,9,
Rcv,Nrm,   15,   10,Unknown,208,15193143,151038144:3003,151038144:54262,0,0,0,9,
Rcv,Nrm,   16,   11,Unknown,208,15194315,151038144:3003,151038144:54262,0,0,0,10,
Rcv,Nrm,   17,   12,Unknown,184,15194445,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   18,   13,Unknown,144,15196359,151038144:3003,151038144:54262,0,0,0,12,
Snd,Nrm,4294967295,   24,ID_INTERNAL_PING,40,15197742,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   19,   14,ID_CONNECTED_PONG,72,15197759,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   20,   15,Unknown,296,15200079,151038144:3003,151038144:54262,0,0,0,13,
Snd,Nrm,4294967295,   27,ID_REPLICA_MANAGER_SERIALIZE,1270,15200139,151038144:3003,151038144:54262,0,0,0,10,
Rcv,Nrm,   21,   16,Unknown,144,15200479,151038144:3003,151038144:54262,0,0,0,14,
Rcv,Nrm,   22,   17,Unknown,144,15204649,151038144:3003,151038144:54262,0,0,0,15,
Rcv,Nrm,   23,   18,Unknown,296,15205099,151038144:3003,151038144:54262,0,0,0,16,
Snd,Nrm,4294967295,   31,ID_REPLICA_MANAGER_SERIALIZE,1270,15205159,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   24,   19,ID_INTERNAL_PING,40,15209659,151038144:3003,151038144:54262,0,0,0,11,
Snd,Nrm,4294967295,   33,ID_CONNECTED_PONG,72,15209689,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   25,   20,Unknown,296,15210119,151038144:3003,151038144:54262,0,0,0,17,
Snd,Nrm,4294967295,   35,ID_REPLICA_MANAGER_SERIALIZE,1270,15210180,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   26,   21,Unknown,544,15211049,151038144:3003,151038144:54262,0,0,0,18,
Snd,Nrm,4294967295,   37,Unknown,352,15211109,151038144:3003,151038144:54262,0,0,0,13,
Rcv,Nrm,   27,   22,ID_DISCONNECTION_NOTIFICATION,8,15211129,151038144:3003,151038144:54262,0,0,0,19,
