S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix
Rcv,Nrm,    9,    6,ID_CONNECTED_PONG,72,15540206,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,   10,    7,Unknown,128,15540436,151038144:3003,151038144:54262,0,0,0,4,
Snd,Nrm,4294967295,   13,Unknown,9840,15540526,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,   13,Unknown,144,15540526,151038144:3003,151038144:54262,0,0,0,6,
Snd,Nrm,4294967295,   13,Unknown,144,15540526,151038144:3003,151038144:54262,0,0,0,7,
Snd,Nrm,4294967295,   13,Unknown,184,15540526,151038144:3003,151038144:54262,0,0,0,8,
Snd,Nrm,4294967295,   14,ID_REPLICA_MANAGER_CONSTRUCTION,3828,15540526,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,   14,ID_REPLICA_MANAGER_SCOPE_CHANGE,25,15540526,151038144:3003,151038144:54262,0,0,0,4,
Snd,Nrm,4294967295,   14,ID_REPLICA_MANAGER_SERIALIZE,1078,15540526,151038144:3003,151038144:54262,0,0,0,5,
Rcv,Nrm,   11,    8,Unknown,216,15540576,151038144:3003,151038144:54262,0,0,0,5,
Rcv,Nrm,   12,    8,Unknown,216,15540576,151038144:3003,151038144:54262,0,0,0,6,
Rcv,Nrm,   13,    9,Unknown,216,15540618,151038144:3003,151038144:54262,0,0,0,7,
Rcv,Nrm,   14,    9,Unknown,152,15540618,151038144:3003,151038144:54262,0,0,0,8,
Snd,Nrm,4294967295,   17,Unknown,1640,15540647,151038144:3003,151038144:54262,0,0,0,9,
Rcv,Nrm,   15,   10,Unknown,208,15541038,151038144:3003,151038144:54262,0,0,0,9,
Rcv,Nrm,   16,   11,Unknown,208,15542145,151038144:3003,151038144:54262,0,0,0,10,
Rcv,Nrm,   17,   12,Unknown,184,15542264,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   18,   13,Unknown,144,15544154,151038144:3003,151038144:54262,0,0,0,12,
Snd,Nrm,4294967295,   22,ID_INTERNAL_PING,40,15545655,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   19,   14,ID_CONNECTED_PONG,72,15545674,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   20,   15,Unknown,392,15547474,151038144:3003,151038144:54262,0,0,0,13,
Snd,Nrm,4294967295,   25,ID_REPLICA_MANAGER_SERIALIZE,1270,15547534,151038144:3003,151038144:54262,0,0,0,10,
Rcv,Nrm,   21,   16,Unknown,392,15547674,151038144:3003,151038144:54262,0,0,0,14,
Snd,Nrm,4294967295,   27,ID_REPLICA_MANAGER_SERIALIZE,1270,15547734,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   22,   17,Unknown,392,15547884,151038144:3003,151038144:54262,0,0,0,15,
Snd,Nrm,4294967295,   29,ID_REPLICA_MANAGER_SERIALIZE,1270,15547944,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   23,   18,Unknown,392,15548086,151038144:3003,151038144:54262,0,0,0,16,
Snd,Nrm,4294967295,   31,ID_REPLICA_MANAGER_SERIALIZE,1270,15548147,151038144:3003,151038144:54262,0,0,0,13,
Rcv,Nrm,   24,   19,Unknown,144,15548326,151038144:3003,151038144:54262,0,0,0,18,
Rcv,Nrm,   25,   19,Unknown,392,15548326,151038144:3003,151038144:54262,0,0,0,17,
Snd,Nrm,4294967295,   33,ID_REPLICA_MANAGER_SERIALIZE,1270,15548387,151038144:3003,151038144:54262,0,0,0,14,
Rcv,Nrm,   26,   20,Unknown,392,15548530,151038144:3003,151038144:54262,0,0,0,19,
Snd,Nrm,4294967295,   35,ID_REPLICA_MANAGER_SERIALIZE,1270,15548590,151038144:3003,151038144:54262,0,0,0,15,
Rcv,Nrm,   27,   21,Unknown,488,15548730,151038144:3003,151038144:54262,0,0,0,20,
Snd,Nrm,4294967295,   37,ID_REPLICA_MANAGER_SERIALIZE,1270,15548790,151038144:3003,151038144:54262,0,0,0,16,
Rcv,Nrm,   28,   22,Unknown,488,15548942,151038144:3003,151038144:54262,0,0,0,21,
Snd,Nrm,4294967295,   39,ID_REPLICA_MANAGER_SERIALIZE,1270,15549002,151038144:3003,151038144:54262,0,0,0,17,
Rcv,Nrm,   29,   23,Unknown,488,15549141,151038144:3003,151038144:54262,0,0,0,22,
Snd,Nrm,4294967295,   41,ID_REPLICA_MANAGER_SERIALIZE,1270,15549201,151038144:3003,151038144:54262,0,0,0,18,
Rcv,Nrm,   30,   24,Unknown,392,15549351,151038144:3003,151038144:54262,0,0,0,23,
Snd,Nrm,4294967295,   43,ID_REPLICA_MANAGER_SERIALIZE,1270,15549411,151038144:3003,151038144:54262,0,0,0,19,
Rcv,Nrm,   31,   25,Unknown,488,15549551,151038144:3003,151038144:54262,0,0,0,24,
Snd,Nrm,4294967295,   45,ID_REPLICA_MANAGER_SERIALIZE,1270,15549611,151038144:3003,151038144:54262,0,0,0,20,
Rcv,Nrm,   32,   26,Unknown,488,15549751,151038144:3003,151038144:54262,0,0,0,25,
Snd,Nrm,4294967295,   47,ID_REPLICA_MANAGER_SERIALIZE,1270,15549811,151038144:3003,151038144:54262,0,0,0,21,
Rcv,Nrm,   33,   27,Unknown,488,15549961,151038144:3003,151038144:54262,0,0,0,26,
Snd,Nrm,4294967295,   49,ID_REPLICA_MANAGER_SERIALIZE,1270,15550021,151038144:3003,151038144:54262,0,0,0,22,
Rcv,Nrm,   34,   28,Unknown,392,15550161,151038144:3003,151038144:54262,0,0,0,27,
Snd,Nrm,4294967295,   51,ID_REPLICA_MANAGER_SERIALIZE,1270,15550221,151038144:3003,151038144:54262,0,0,0,23,
Rcv,Nrm,   35,   29,Unknown,488,15550391,151038144:3003,151038144:54262,0,0,0,28,
Snd,Nrm,4294967295,   53,ID_REPLICA_MANAGER_SERIALIZE,1270,15550451,151038144:3003,151038144:54262,0,0,0,24,
Rcv,Nrm,   36,   30,Unknown,392,15550591,151038144:3003,151038144:54262,0,0,0,29,
Snd,Nrm,4294967295,   55,ID_REPLICA_MANAGER_SERIALIZE,1270,15550651,151038144:3003,151038144:54262,0,0,0,25,
Rcv,Nrm,   37,   31,Unknown,392,15550801,151038144:3003,151038144:54262,0,0,0,30,
Snd,Nrm,4294967295,   57,ID_REPLICA_MANAGER_SERIALIZE,1270,15550861,151038144:3003,151038144:54262,0,0,0,26,
Rcv,Nrm,   38,   32,Unknown,488,15551011,151038144:3003,151038144:54262,0,0,0,31,
Snd,Nrm,4294967295,   59,ID_REPLICA_MANAGER_SERIALIZE,1270,15551071,151038144:3003,151038144:54262,0,0,0,27,
Rcv,Nrm,   39,   33,Unknown,392,15551222,151038144:3003,151038144:54262,0,0,0,32,
Snd,Nrm,4294967295,   61,ID_REPLICA_MANAGER_SERIALIZE,1270,15551281,151038144:3003,151038144:54262,0,0,0,28,
Rcv,Nrm,   40,   34,Unknown,392,15551423,151038144:3003,151038144:54262,0,0,0,33,
Snd,Nrm,4294967295,   63,ID_REPLICA_MANAGER_SERIALIZE,1270,15551483,151038144:3003,151038144:54262,0,0,0,29,
Rcv,Nrm,   41,   35,Unknown,392,15551623,151038144:3003,151038144:54262,0,0,0,34,
Snd,Nrm,4294967295,   65,ID_REPLICA_MANAGER_SERIALIZE,1270,15551683,151038144:3003,151038144:54262,0,0,0,30,
Rcv,Nrm,   42,   36,Unknown,488,15551833,151038144:3003,151038144:54262,0,0,0,35,
Snd,Nrm,4294967295,   67,ID_REPLICA_MANAGER_SERIALIZE,1270,15551893,151038144:3003,151038144:54262,0,0,0,31,
Rcv,Nrm,   43,   37,Unknown,392,15552043,151038144:3003,151038144:54262,0,0,0,36,
Snd,Nrm,4294967295,   69,ID_REPLICA_MANAGER_SERIALIZE,1270,15552103,151038144:3003,151038144:54262,0,0,0,32,
Rcv,Nrm,   44,   38,Unknown,392,15552243,151038144:3003,151038144:54262,0,0,0,37,
Snd,Nrm,4294967295,   71,ID_REPLICA_MANAGER_SERIALIZE,1270,15552303,151038144:3003,151038144:54262,0,0,0,33,
Rcv,Nrm,   45,   39,Unknown,392,15552453,151038144:3003,151038144:54262,0,0,0,38,
Snd,Nrm,4294967295,   73,ID_REPLICA_MANAGER_SERIALIZE,1270,15552514,151038144:3003,151038144:54262,0,0,0,34,
Rcv,Nrm,   46,   40,Unknown,144,15552523,151038144:3003,151038144:54262,0,0,0,39,
Rcv,Nrm,   47,   41,Unknown,392,15552653,151038144:3003,151038144:54262,0,0,0,40,
Snd,Nrm,4294967295,   76,ID_REPLICA_MANAGER_SERIALIZE,1270,15552714,151038144:3003,151038144:54262,0,0,0,35,
Rcv,Nrm,   48,   42,Unknown,392,15552853,151038144:3003,151038144:54262,0,0,0,41,
Snd,Nrm,4294967295,   78,ID_REPLICA_MANAGER_SERIALIZE,1270,15552913,151038144:3003,151038144:54262,0,0,0,36,
Rcv,Nrm,   49,   43,Unknown,392,15553073,151038144:3003,151038144:54262,0,0,0,42,
Snd,Nrm,4294967295,   80,ID_REPLICA_MANAGER_SERIALIZE,1270,15553133,151038144:3003,151038144:54262,0,0,0,37,
Rcv,Nrm,   50,   44,Unknown,392,15553273,151038144:3003,151038144:54262,0,0,0,43,
Snd,Nrm,4294967295,   82,ID_REPLICA_MANAGER_SERIALIZE,1270,15553333,151038144:3003,151038144:54262,0,0,0,38,
Rcv,Nrm,   51,   45,Unknown,392,15553483,151038144:3003,151038144:54262,0,0,0,44,
Snd,Nrm,4294967295,   84,ID_REPLICA_MANAGER_SERIALIZE,1270,15553543,151038144:3003,151038144:54262,0,0,0,39,
Rcv,Nrm,   52,   46,Unknown,488,15553693,151038144:3003,151038144:54262,0,0,0,45,
Snd,Nrm,4294967295,   86,ID_REPLICA_MANAGER_SERIALIZE,1270,15553754,151038144:3003,151038144:54262,0,0,0,40,
Rcv,Nrm,   53,   47,Unknown,488,15553893,151038144:3003,151038144:54262,0,0,0,46,
Snd,Nrm,4294967295,   88,ID_REPLICA_MANAGER_SERIALIZE,1270,15553953,151038144:3003,151038144:54262,0,0,0,41,
Rcv,Nrm,   54,   48,Unknown,488,15554105,151038144:3003,151038144:54262,0,0,0,47,
Snd,Nrm,4294967295,   90,ID_REPLICA_MANAGER_SERIALIZE,1270,15554165,151038144:3003,151038144:54262,0,0,0,42,
Rcv,Nrm,   55,   49,Unknown,392,15554313,151038144:3003,151038144:54262,0,0,0,48,
Snd,Nrm,4294967295,   92,ID_REPLICA_MANAGER_SERIALIZE,1270,15554373,151038144:3003,151038144:54262,0,0,0,43,
Rcv,Nrm,   56,   50,Unknown,392,15554524,151038144:3003,151038144:54262,0,0,0,49,
Snd,Nrm,4294967295,   94,ID_REPLICA_MANAGER_SERIALIZE,1270,15554583,151038144:3003,151038144:54262,0,0,0,44,
Rcv,Nrm,   57,   51,Unknown,392,15554723,151038144:3003,151038144:54262,0,0,0,50,
Snd,Nrm,4294967295,   96,ID_REPLICA_MANAGER_SERIALIZE,1270,15554783,151038144:3003,151038144:54262,0,0,0,45,
Rcv,Nrm,   58,   52,Unknown,392,15554943,151038144:3003,151038144:54262,0,0,0,51,
Snd,Nrm,4294967295,   98,ID_REPLICA_MANAGER_SERIALIZE,1270,15555003,151038144:3003,151038144:54262,0,0,0,46,
Rcv,Nrm,   59,   53,Unknown,488,15555143,151038144:3003,151038144:54262,0,0,0,52,
Snd,Nrm,4294967295,  100,ID_REPLICA_MANAGER_SERIALIZE,1270,15555203,151038144:3003,151038144:54262,0,0,0,47,
Rcv,Nrm,   60,   54,Unknown,392,15555343,151038144:3003,151038144:54262,0,0,0,53,
Snd,Nrm,4294967295,  102,ID_REPLICA_MANAGER_SERIALIZE,1270,15555403,151038144:3003,151038144:54262,0,0,0,48,
Rcv,Nrm,   61,   55,Unknown,488,15555554,151038144:3003,151038144:54262,0,0,0,54,
Snd,Nrm,4294967295,  104,ID_REPLICA_MANAGER_SERIALIZE,1270,15555613,151038144:3003,151038144:54262,0,0,0,49,
Rcv,Nrm,   62,   56,Unknown,392,15555773,151038144:3003,151038144:54262,0,0,0,55,
Snd,Nrm,4294967295,  106,ID_REPLICA_MANAGER_SERIALIZE,1270,15555833,151038144:3003,151038144:54262,0,0,0,50,
Rcv,Nrm,   63,   57,Unknown,392,15555983,151038144:3003,151038144:54262,0,0,0,56,
Snd,Nrm,4294967295,  108,ID_REPLICA_MANAGER_SERIALIZE,1270,15556043,151038144:3003,151038144:54262,0,0,0,51,
Rcv,Nrm,   64,   58,Unknown,392,15556193,151038144:3003,151038144:54262,0,0,0,57,
Snd,Nrm,4294967295,  110,ID_REPLICA_MANAGER_SERIALIZE,1270,15556253,151038144:3003,151038144:54262,0,0,0,52,
Rcv,Nrm,   65,   59,Unknown,392,15556423,151038144:3003,151038144:54262,0,0,0,58,
Snd,Nrm,4294967295,  112,ID_REPLICA_MANAGER_SERIALIZE,1270,15556484,151038144:3003,151038144:54262,0,0,0,53,
Rcv,Nrm,   66,   60,Unknown,392,15556623,151038144:3003,151038144:54262,0,0,0,59,
Snd,Nrm,4294967295,  114,ID_REPLICA_MANAGER_SERIALIZE,1270,15556683,151038144:3003,151038144:54262,0,0,0,54,
Rcv,Nrm,   67,   61,Unknown,392,15556843,151038144:3003,151038144:54262,0,0,0,60,
Snd,Nrm,4294967295,  116,ID_REPLICA_MANAGER_SERIALIZE,1270,15556903,151038144:3003,151038144:54262,0,0,0,55,
Rcv,Nrm,   68,   62,Unknown,296,15557053,151038144:3003,151038144:54262,0,0,0,61,
Snd,Nrm,4294967295,  118,ID_REPLICA_MANAGER_SERIALIZE,1270,15557113,151038144:3003,151038144:54262,0,0,0,56,
Rcv,Nrm,   69,   63,ID_INTERNAL_PING,40,15557533,151038144:3003,151038144:54262,0,0,0,56,
Snd,Nrm,4294967295,  120,ID_CONNECTED_PONG,72,15557563,151038144:3003,151038144:54262,0,0,0,56,
Rcv,Nrm,   70,   64,Unknown,296,15561724,151038144:3003,151038144:54262,0,0,0,62,
Snd,Nrm,4294967295,  122,ID_REPLICA_MANAGER_SERIALIZE,1270,15561783,151038144:3003,151038144:54262,0,0,0,57,
Rcv,Nrm,   71,   65,ID_INTERNAL_PING,40,15562534,151038144:3003,151038144:54262,0,0,0,57,
Snd,Nrm,4294967295,  124,ID_CONNECTED_PONG,72,15562564,151038144:3003,151038144:54262,0,0,0,57,
Rcv,Nrm,   72,   66,Unknown,296,15566734,151038144:3003,151038144:54262,0,0,0,63,
Snd,Nrm,4294967295,  126,ID_REPLICA_MANAGER_SERIALIZE,1270,15566794,151038144:3003,151038144:54262,0,0,0,58,
Rcv,Nrm,   73,   67,ID_INTERNAL_PING,40,15567544,151038144:3003,151038144:54262,0,0,0,58,
Snd,Nrm,4294967295,  128,ID_CONNECTED_PONG,72,15567574,151038144:3003,151038144:54262,0,0,0,58,
Rcv,Nrm,   74,   68,Unknown,296,15571756,151038144:3003,151038144:54262,0,0,0,64,
Snd,Nrm,4294967295,  130,ID_REPLICA_MANAGER_SERIALIZE,1270,15571816,151038144:3003,151038144:54262,0,0,0,59,
Rcv,Nrm,   75,   69,ID_INTERNAL_PING,40,15572547,151038144:3003,151038144:54262,0,0,0,59,
Snd,Nrm,4294967295,  132,ID_CONNECTED_PONG,72,15572577,151038144:3003,151038144:54262,0,0,0,59,
Rcv,Nrm,   76,   70,Unknown,544,15572657,151038144:3003,151038144:54262,0,0,0,65,
Snd,Nrm,4294967295,  134,Unknown,352,15572687,151038144:3003,151038144:54262,0,0,0,60,
Rcv,Nrm,   77,   71,ID_DISCONNECTION_NOTIFICATION,8,15572707,151038144:3003,151038144:54262,0,0,0,66,
Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,15687820,151038144:3003,151038144:54262,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,15687820,151038144:3003,151038144:54262,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,15687830,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,15687860,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,15687880,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,15687880,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    3,    1,Unknown,472,15687880,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,15687910,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,15687910,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,15687940,151038144:3003,151038144:54262,0,0,0,2,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,15687940,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,15687940,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,15687970,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    6,Unknown,472,15687970,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,15687970,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    7,    4,Unknown,1384,15688000,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,    9,Unknown,288,15688030,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    8,    5,ID_INTERNAL_PING,40,15693008,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,   11,ID_CONNECTED_PONG,72,15693008,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,   12,ID_INTERNAL_PING,40,15693048,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    9,    6,ID_CONNECTED_PONG,72,15693068,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,   10,    7,Unknown,128,15693420,151038144:3003,151038144:54262,0,0,0,4,
Snd,Nrm,4294967295,   15,Unknown,9840,15693481,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,   16,Unknown,144,15693490,151038144:3003,151038144:54262,0,0,0,6,
Snd,Nrm,4294967295,   16,Unknown,144,15693490,151038144:3003,151038144:54262,0,0,0,7,
Snd,Nrm,4294967295,   16,Unknown,184,15693490,151038144:3003,151038144:54262,0,0,0,8,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_CONSTRUCTION,3828,15693490,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_SCOPE_CHANGE,25,15693490,151038144:3003,151038144:54262,0,0,0,4,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_SERIALIZE,1078,15693490,151038144:3003,151038144:54262,0,0,0,5,
Rcv,Nrm,   11,    8,Unknown,216,15693540,151038144:3003,151038144:54262,0,0,0,5,
Rcv,Nrm,   12,    8,Unknown,216,15693540,151038144:3003,151038144:54262,0,0,0,6,
Rcv,Nrm,   13,    8,Unknown,216,15693540,151038144:3003,151038144:54262,0,0,0,7,
Rcv,Nrm,   14,    9,Unknown,152,15693600,151038144:3003,151038144:54262,0,0,0,8,
Snd,Nrm,4294967295,   19,Unknown,1640,15693664,151038144:3003,151038144:54262,0,0,0,9,
Rcv,Nrm,   15,   10,Unknown,208,15694413,151038144:3003,151038144:54262,0,0,0,9,
Rcv,Nrm,   16,   11,Unknown,208,15695494,151038144:3003,151038144:54262,0,0,0,10,
Rcv,Nrm,   17,   12,Unknown,184,15695644,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   18,   13,Unknown,392,15696250,151038144:3003,151038144:54262,0,0,0,12,
Snd,Nrm,4294967295,   24,ID_REPLICA_MANAGER_SERIALIZE,1270,15696309,151038144:3003,151038144:54262,0,0,0,10,
Rcv,Nrm,   19,   14,Unknown,392,15697367,151038144:3003,151038144:54262,0,0,0,13,
Snd,Nrm,4294967295,   26,ID_REPLICA_MANAGER_SERIALIZE,1270,15697427,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   20,   15,Unknown,144,15697517,151038144:3003,151038144:54262,0,0,0,14,
Rcv,Nrm,   21,   16,Unknown,392,15697577,151038144:3003,151038144:54262,0,0,0,15,
Snd,Nrm,4294967295,   29,ID_REPLICA_MANAGER_SERIALIZE,1270,15697637,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   22,   17,Unknown,392,15697777,151038144:3003,151038144:54262,0,0,0,16,
Snd,Nrm,4294967295,   31,ID_REPLICA_MANAGER_SERIALIZE,1270,15697837,151038144:3003,151038144:54262,0,0,0,13,
Rcv,Nrm,   23,   18,Unknown,392,15697988,151038144:3003,151038144:54262,0,0,0,17,
Snd,Nrm,4294967295,   33,ID_REPLICA_MANAGER_SERIALIZE,1270,15698047,151038144:3003,151038144:54262,0,0,0,14,
Rcv,Nrm,   24,   19,Unknown,392,15698210,151038144:3003,151038144:54262,0,0,0,18,
Snd,Nrm,4294967295,   35,ID_REPLICA_MANAGER_SERIALIZE,1270,15698269,151038144:3003,151038144:54262,0,0,0,15,
Rcv,Nrm,   25,   20,Unknown,392,15698409,151038144:3003,151038144:54262,0,0,0,19,
Snd,Nrm,4294967295,   37,ID_REPLICA_MANAGER_SERIALIZE,1270,15698468,151038144:3003,151038144:54262,0,0,0,16,
Rcv,Nrm,   26,   21,Unknown,488,15698947,151038144:3003,151038144:54262,0,0,0,20,
Snd,Nrm,4294967295,   39,ID_REPLICA_MANAGER_SERIALIZE,1270,15699007,151038144:3003,151038144:54262,0,0,0,17,
Rcv,Nrm,   27,   22,Unknown,488,15699157,151038144:3003,151038144:54262,0,0,0,21,
Snd,Nrm,4294967295,   41,ID_REPLICA_MANAGER_SERIALIZE,1270,15699217,151038144:3003,151038144:54262,0,0,0,18,
Rcv,Nrm,   28,   23,Unknown,488,15699377,151038144:3003,151038144:54262,0,0,0,22,
Snd,Nrm,4294967295,   43,ID_REPLICA_MANAGER_SERIALIZE,1270,15699437,151038144:3003,151038144:54262,0,0,0,19,
Rcv,Nrm,   29,   24,Unknown,488,15699597,151038144:3003,151038144:54262,0,0,0,23,
Snd,Nrm,4294967295,   45,ID_REPLICA_MANAGER_SERIALIZE,1270,15699657,151038144:3003,151038144:54262,0,0,0,20,
Rcv,Nrm,   30,   25,Unknown,488,15699797,151038144:3003,151038144:54262,0,0,0,24,
Snd,Nrm,4294967295,   47,ID_REPLICA_MANAGER_SERIALIZE,1270,15699858,151038144:3003,151038144:54262,0,0,0,21,
Rcv,Nrm,   31,   26,Unknown,488,15700007,151038144:3003,151038144:54262,0,0,0,25,
Snd,Nrm,4294967295,   49,ID_REPLICA_MANAGER_SERIALIZE,1270,15700067,151038144:3003,151038144:54262,0,0,0,22,
Rcv,Nrm,   32,   27,Unknown,488,15700217,151038144:3003,151038144:54262,0,0,0,26,
Snd,Nrm,4294967295,   51,ID_REPLICA_MANAGER_SERIALIZE,1270,15700277,151038144:3003,151038144:54262,0,0,0,23,
Rcv,Nrm,   33,   28,Unknown,392,15700417,151038144:3003,151038144:54262,0,0,0,27,
Snd,Nrm,4294967295,   53,ID_REPLICA_MANAGER_SERIALIZE,1270,15700477,151038144:3003,151038144:54262,0,0,0,24,
Rcv,Nrm,   34,   29,Unknown,392,15700618,151038144:3003,151038144:54262,0,0,0,28,
Snd,Nrm,4294967295,   55,ID_REPLICA_MANAGER_SERIALIZE,1270,15700678,151038144:3003,151038144:54262,0,0,0,25,
Rcv,Nrm,   35,   30,Unknown,392,15700818,151038144:3003,151038144:54262,0,0,0,29,
Snd,Nrm,4294967295,   57,ID_REPLICA_MANAGER_SERIALIZE,1270,15700878,151038144:3003,151038144:54262,0,0,0,26,
Rcv,Nrm,   36,   31,Unknown,392,15701038,151038144:3003,151038144:54262,0,0,0,30,
Snd,Nrm,4294967295,   59,ID_REPLICA_MANAGER_SERIALIZE,1270,15701098,151038144:3003,151038144:54262,0,0,0,27,
Rcv,Nrm,   37,   32,Unknown,488,15701238,151038144:3003,151038144:54262,0,0,0,31,
Snd,Nrm,4294967295,   61,ID_REPLICA_MANAGER_SERIALIZE,1270,15701298,151038144:3003,151038144:54262,0,0,0,28,
Rcv,Nrm,   38,   33,Unknown,488,15701438,151038144:3003,151038144:54262,0,0,0,32,
Snd,Nrm,4294967295,   63,ID_REPLICA_MANAGER_SERIALIZE,1270,15701498,151038144:3003,151038144:54262,0,0,0,29,
Rcv,Nrm,   39,   34,Unknown,488,15701638,151038144:3003,151038144:54262,0,0,0,33,
Snd,Nrm,4294967295,   65,ID_REPLICA_MANAGER_SERIALIZE,1270,15701699,151038144:3003,151038144:54262,0,0,0,30,
Rcv,Nrm,   40,   35,Unknown,144,15701718,151038144:3003,151038144:54262,0,0,0,34,
Rcv,Nrm,   41,   36,Unknown,488,15701848,151038144:3003,151038144:54262,0,0,0,35,
