S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,15534973,151038144:3003,151038144:54262,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,15534973,151038144:3003,151038144:54262,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,15534983,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,15535014,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,15535033,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,15535033,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    3,    1,Unknown,472,15535033,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,15535064,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,15535064,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,15535093,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,15535093,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,15535093,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,    5,ID_CONNECTED_PONG,72,15535123,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    5,Unknown,472,15535123,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,15535123,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    7,    4,Unknown,1384,15535153,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,    8,Unknown,288,15535183,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    8,    5,ID_INTERNAL_PING,40,15540156,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,   10,ID_CONNECTED_PONG,72,15540186,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,   10,ID_INTERNAL_PING,40,15540186,151038144:3003,151038144:54262,0,0,0,0,
