S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,16108991,151038144:3003,151038144:64839,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,16108991,151038144:3003,151038144:64839,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,16109000,151038144:3003,151038144:64839,0,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,16109030,151038144:3003,151038144:64839,0,0,0,0,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,16109050,151038144:3003,151038144:64839,0,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,16109050,151038144:3003,151038144:64839,0,0,0,1,
Rcv,Nrm,    3,    1,Unknown,472,16109050,151038144:3003,151038144:64839,0,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,16109080,151038144:3003,151038144:64839,0,0,0,1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,16109080,151038144:3003,151038144:64839,0,0,0,1,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,16109110,151038144:3003,151038144:64839,0,0,0,2,
Rcv,Nrm,    4,    2,ID_INTERNAL_PING,40,16109110,151038144:3003,151038144:64839,0,0,0,0,
Rcv,Nrm,    5,    2,ID_CONNECTED_PONG,72,16109110,151038144:3003,151038144:64839,0,0,0,0,
Snd,Nrm,4294967295,    6,ID_CONNECTED_PONG,72,16109140,151038144:3003,151038144:64839,0,0,0,0,
Snd,Nrm,4294967295,    6,Unknown,472,16109140,151038144:3003,151038144:64839,0,0,0,0,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,16109140,151038144:3003,151038144:64839,0,0,0,1,
Rcv,Nrm,    7,    4,Unknown,1384,16109160,151038144:3003,151038144:64839,0,0,0,3,
Snd,Nrm,4294967295,    9,Unknown,288,16109190,151038144:3003,151038144:64839,0,0,0,1,
Rcv,Nrm,    8,    5,ID_INTERNAL_PING,40,16114151,151038144:3003,151038144:64839,0,0,0,1,
Snd,Nrm,4294967295,   11,ID_CONNECTED_PONG,72,16114181,151038144:3003,151038144:64839,0,0,0,1,
