S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix
Snd,Nrm,4294967295,   12,ID_INTERNAL_PING,40,16114191,151038144:3003,151038144:64839,0,0,0,0,
Rcv,Nrm,    9,    6,ID_CONNECTED_PONG,72,16114213,151038144:3003,151038144:64839,0,0,0,0,
Rcv,Nrm,   10,    7,Unknown,128,16114441,151038144:3003,151038144:64839,0,0,0,4,
Snd,Nrm,4294967295,   15,Unknown,9840,16114531,151038144:3003,151038144:64839,0,0,0,2,
Snd,Nrm,4294967295,   16,Unknown,144,16114562,151038144:3003,151038144:64839,0,0,0,6,
Snd,Nrm,4294967295,   16,Unknown,144,16114562,151038144:3003,151038144:64839,0,0,0,7,
Snd,Nrm,4294967295,   16,Unknown,184,16114562,151038144:3003,151038144:64839,0,0,0,8,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_CONSTRUCTION,3828,16114562,151038144:3003,151038144:64839,0,0,0,3,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_SCOPE_CHANGE,25,16114562,151038144:3003,151038144:64839,0,0,0,4,
Snd,Nrm,4294967295,   16,ID_REPLICA_MANAGER_SERIALIZE,1078,16114562,151038144:3003,151038144:64839,0,0,0,5,
Rcv,Nrm,   11,    8,Unknown,216,16114582,151038144:3003,151038144:64839,0,0,0,5,
Rcv,Nrm,   12,    8,Unknown,216,16114582,151038144:3003,151038144:64839,0,0,0,6,
Rcv,Nrm,   13,    8,Unknown,216,16114582,151038144:3003,151038144:64839,0,0,0,7,
Rcv,Nrm,   14,    9,Unknown,152,16114652,151038144:3003,151038144:64839,0,0,0,8,
Snd,Nrm,4294967295,   19,Unknown,1640,16114684,151038144:3003,151038144:64839,0,0,0,9,
Rcv,Nrm,   15,   10,Unknown,208,16115023,151038144:3003,151038144:64839,0,0,0,9,
Rcv,Nrm,   16,   11,Unknown,208,16116145,151038144:3003,151038144:64839,0,0,0,10,
Rcv,Nrm,   17,   12,Unknown,184,16116255,151038144:3003,151038144:64839,0,0,0,11,
Rcv,Nrm,   18,   13,Unknown,144,16118158,151038144:3003,151038144:64839,0,0,0,12,
Snd,Nrm,4294967295,   24,ID_INTERNAL_PING,40,16119696,151038144:3003,151038144:64839,0,0,0,12,
Rcv,Nrm,   19,   14,ID_CONNECTED_PONG,72,16119708,151038144:3003,151038144:64839,0,0,0,12,
Rcv,Nrm,   20,   15,Unknown,296,16121789,151038144:3003,151038144:64839,0,0,0,13,
Snd,Nrm,4294967295,   27,ID_REPLICA_MANAGER_SERIALIZE,1270,16121849,151038144:3003,151038144:64839,0,0,0,10,
Rcv,Nrm,   21,   16,Unknown,144,16122359,151038144:3003,151038144:64839,0,0,0,14,
Rcv,Nrm,   22,   17,Unknown,144,16126521,151038144:3003,151038144:64839,0,0,0,15,
Rcv,Nrm,   23,   18,Unknown,296,16126801,151038144:3003,151038144:64839,0,0,0,16,
Snd,Nrm,4294967295,   31,ID_REPLICA_MANAGER_SERIALIZE,1270,16126861,151038144:3003,151038144:64839,0,0,0,11,
Rcv,Nrm,   24,   19,ID_INTERNAL_PING,40,16131531,151038144:3003,151038144:64839,0,0,0,11,
Snd,Nrm,4294967295,   33,ID_CONNECTED_PONG,72,16131561,151038144:3003,151038144:64839,0,0,0,11,
Rcv,Nrm,   25,   20,Unknown,296,16131821,151038144:3003,151038144:64839,0,0,0,17,
Snd,Nrm,4294967295,   35,ID_REPLICA_MANAGER_SERIALIZE,1270,16131881,151038144:3003,151038144:64839,0,0,0,12,
Rcv,Nrm,   26,   21,ID_INTERNAL_PING,40,16136541,151038144:3003,151038144:64839,0,0,0,12,
Snd,Nrm,4294967295,   37,ID_CONNECTED_PONG,72,16136571,151038144:3003,151038144:64839,0,0,0,12,
Rcv,Nrm,   27,   22,Unknown,296,16136841,151038144:3003,151038144:64839,0,0,0,18,
Snd,Nrm,4294967295,   39,ID_REPLICA_MANAGER_SERIALIZE,1270,16136901,151038144:3003,151038144:64839,0,0,0,13,
Rcv,Nrm,   28,   23,ID_INTERNAL_PING,40,16141551,151038144:3003,151038144:64839,0,0,0,13,
Snd,Nrm,4294967295,   41,ID_CONNECTED_PONG,72,16141581,151038144:3003,151038144:64839,0,0,0,13,
Rcv,Nrm,   29,   24,Unknown,296,16141851,151038144:3003,151038144:64839,0,0,0,19,
Snd,Nrm,4294967295,   43,ID_REPLICA_MANAGER_SERIALIZE,1270,16141913,151038144:3003,151038144:64839,0,0,0,14,
Rcv,Nrm,   30,   25,ID_INTERNAL_PING,40,16146552,151038144:3003,151038144:64839,0,0,0,14,
Snd,Nrm,4294967295,   45,ID_CONNECTED_PONG,72,16146582,151038144:3003,151038144:64839,0,0,0,14,
Rcv,Nrm,   31,   26,Unknown,296,16146872,151038144:3003,151038144:64839,0,0,0,20,
Snd,Nrm,4294967295,   47,ID_REPLICA_MANAGER_SERIALIZE,1270,16146932,151038144:3003,151038144:64839,0,0,0,15,
Rcv,Nrm,   32,   27,ID_INTERNAL_PING,40,16151563,151038144:3003,151038144:64839,0,0,0,15,
Snd,Nrm,4294967295,   49,ID_CONNECTED_PONG,72,16151592,151038144:3003,151038144:64839,0,0,0,15,
Rcv,Nrm,   33,   28,Unknown,296,16151882,151038144:3003,151038144:64839,0,0,0,21,
Snd,Nrm,4294967295,   51,ID_REPLICA_MANAGER_SERIALIZE,1270,16151942,151038144:3003,151038144:64839,0,0,0,16,
Rcv,Nrm,   34,   29,ID_INTERNAL_PING,40,16156563,151038144:3003,151038144:64839,0,0,0,16,
Snd,Nrm,4294967295,   53,ID_CONNECTED_PONG,72,16156593,151038144:3003,151038144:64839,0,0,0,16,
Rcv,Nrm,   35,   30,Unknown,296,16156903,151038144:3003,151038144:64839,0,0,0,22,
Snd,Nrm,4294967295,   55,ID_REPLICA_MANAGER_SERIALIZE,1270,16156962,151038144:3003,151038144:64839,0,0,0,17,
Rcv,Nrm,   36,   31,ID_INTERNAL_PING,40,16161573,151038144:3003,151038144:64839,0,0,0,17,
Snd,Nrm,4294967295,   57,ID_CONNECTED_PONG,72,16161603,151038144:3003,151038144:64839,0,0,0,17,
Rcv,Nrm,   37,   32,Unknown,296,16161923,151038144:3003,151038144:64839,0,0,0,23,
Snd,Nrm,4294967295,   59,ID_REPLICA_MANAGER_SERIALIZE,1270,16161983,151038144:3003,151038144:64839,0,0,0,18,
Rcv,Nrm,   38,   33,ID_INTERNAL_PING,40,16166583,151038144:3003,151038144:64839,0,0,0,18,
Snd,Nrm,4294967295,   61,ID_CONNECTED_PONG,72,16166613,151038144:3003,151038144:64839,0,0,0,18,
Rcv,Nrm,   39,   34,Unknown,296,16166933,151038144:3003,151038144:64839,0,0,0,24,
Snd,Nrm,4294967295,   63,ID_REPLICA_MANAGER_SERIALIZE,1270,16166993,151038144:3003,151038144:64839,0,0,0,19,
Rcv,Nrm,   40,   35,ID_INTERNAL_PING,40,16171594,151038144:3003,151038144:64839,0,0,0,19,
Snd,Nrm,4294967295,   65,ID_CONNECTED_PONG,72,16171624,151038144:3003,151038144:64839,0,0,0,19,
Rcv,Nrm,   41,   36,Unknown,296,16171955,151038144:3003,151038144:64839,0,0,0,0,
Snd,Nrm,4294967295,   66,ID_REPLICA_MANAGER_SERIALIZE,1270,16172015,151038144:3003,151038144:64839,0,0,0,20,
Rcv,Nrm,   42,   37,ID_INTERNAL_PING,40,16176603,151038144:3003,151038144:64839,0,0,0,20,
Snd,Nrm,4294967295,   68,ID_CONNECTED_PONG,72,16176633,151038144:3003,151038144:64839,0,0,0,20,
Rcv,Nrm,   43,   38,Unknown,296,16176973,151038144:3003,151038144:64839,0,0,0,1,
Snd,Nrm,4294967295,   69,ID_REPLICA_MANAGER_SERIALIZE,1270,16177033,151038144:3003,151038144:64839,0,0,0,21,
Rcv,Nrm,   44,   39,ID_INTERNAL_PING,40,16181608,151038144:3003,151038144:64839,0,0,0,21,
Snd,Nrm,4294967295,   71,ID_CONNECTED_PONG,72,16181639,151038144:3003,151038144:64839,0,0,0,21,
Rcv,Nrm,   45,   40,Unknown,296,16181988,151038144:3003,151038144:64839,0,0,0,2,
Snd,Nrm,4294967295,   72,ID_REPLICA_MANAGER_SERIALIZE,1270,16182048,151038144:3003,151038144:64839,0,0,0,22,
Rcv,Nrm,   46,   41,ID_INTERNAL_PING,40,16186615,151038144:3003,151038144:64839,0,0,0,22,
Snd,Nrm,4294967295,   74,ID_CONNECTED_PONG,72,16186645,151038144:3003,151038144:64839,0,0,0,22,
Rcv,Nrm,   47,   42,Unknown,296,16187005,151038144:3003,151038144:64839,0,0,0,3,
Snd,Nrm,4294967295,   75,ID_REPLICA_MANAGER_SERIALIZE,1270,16187065,151038144:3003,151038144:64839,0,0,0,23,
Rcv,Nrm,   48,   43,ID_INTERNAL_PING,40,16191619,151038144:3003,151038144:64839,0,0,0,23,
Snd,Nrm,4294967295,   77,ID_CONNECTED_PONG,72,16191650,151038144:3003,151038144:64839,0,0,0,23,
Rcv,Nrm,   49,   44,Unknown,296,16192020,151038144:3003,151038144:64839,0,0,0,4,
Snd,Nrm,4294967295,   78,ID_REPLICA_MANAGER_SERIALIZE,1270,16192080,151038144:3003,151038144:64839,0,0,0,24,
Rcv,Nrm,   50,   45,ID_INTERNAL_PING,40,16196621,151038144:3003,151038144:64839,0,0,0,24,
Snd,Nrm,4294967295,   80,ID_CONNECTED_PONG,72,16196651,151038144:3003,151038144:64839,0,0,0,24,
Rcv,Nrm,   51,   46,Unknown,296,16197031,151038144:3003,151038144:64839,0,0,0,5,
Snd,Nrm,4294967295,   81,ID_REPLICA_MANAGER_SERIALIZE,1270,16197091,151038144:3003,151038144:64839,0,0,0,25,
Rcv,Nrm,   52,   47,ID_INTERNAL_PING,40,16201631,151038144:3003,151038144:64839,0,0,0,25,
Snd,Nrm,4294967295,   83,ID_CONNECTED_PONG,72,16201661,151038144:3003,151038144:64839,0,0,0,25,
Rcv,Nrm,   53,   48,Unknown,296,16202051,151038144:3003,151038144:64839,0,0,0,6,
Snd,Nrm,4294967295,   84,ID_REPLICA_MANAGER_SERIALIZE,1270,16202111,151038144:3003,151038144:64839,0,0,0,26,
Rcv,Nrm,   54,   49,ID_INTERNAL_PING,40,16206632,151038144:3003,151038144:64839,0,0,0,26,
Snd,Nrm,4294967295,   86,ID_CONNECTED_PONG,72,16206662,151038144:3003,151038144:64839,0,0,0,26,
Rcv,Nrm,   55,   50,Unknown,296,16207072,151038144:3003,151038144:64839,0,0,0,7,
Snd,Nrm,4294967295,   87,ID_REPLICA_MANAGER_SERIALIZE,1270,16207132,151038144:3003,151038144:64839,0,0,0,27,
Rcv,Nrm,   56,   51,ID_INTERNAL_PING,40,16211644,151038144:3003,151038144:64839,0,0,0,27,
Snd,Nrm,4294967295,   89,ID_CONNECTED_PONG,72,16211674,151038144:3003,151038144:64839,0,0,0,27,
Rcv,Nrm,   57,   52,Unknown,296,16212073,151038144:3003,151038144:64839,0,0,0,8,
Snd,Nrm,4294967295,   90,ID_REPLICA_MANAGER_SERIALIZE,1270,16212133,151038144:3003,151038144:64839,0,0,0,28,
Rcv,Nrm,   58,   53,ID_INTERNAL_PING,40,16216643,151038144:3003,151038144:64839,0,0,0,28,
Snd,Nrm,4294967295,   92,ID_CONNECTED_PONG,72,16216673,151038144:3003,151038144:64839,0,0,0,28,
Rcv,Nrm,   59,   54,Unknown,296,16217083,151038144:3003,151038144:64839,0,0,0,9,
Snd,Nrm,4294967295,   93,ID_REPLICA_MANAGER_SERIALIZE,1270,16217143,151038144:3003,151038144:64839,0,0,0,29,
Rcv,Nrm,   60,   55,ID_INTERNAL_PING,40,16221653,151038144:3003,151038144:64839,0,0,0,29,
Snd,Nrm,4294967295,   95,ID_CONNECTED_PONG,72,16221684,151038144:3003,151038144:64839,0,0,0,29,
Rcv,Nrm,   61,   56,Unknown,296,16222103,151038144:3003,151038144:64839,0,0,0,10,
Snd,Nrm,4294967295,   96,ID_REPLICA_MANAGER_SERIALIZE,1270,16222163,151038144:3003,151038144:64839,0,0,0,30,
Rcv,Nrm,   62,   57,ID_INTERNAL_PING,40,16226663,151038144:3003,151038144:64839,0,0,0,30,
Snd,Nrm,4294967295,   98,ID_CONNECTED_PONG,72,16226693,151038144:3003,151038144:64839,0,0,0,30,
Rcv,Nrm,   63,   58,Unknown,296,16227123,151038144:3003,151038144:64839,0,0,0,11,
Snd,Nrm,4294967295,   99,ID_REPLICA_MANAGER_SERIALIZE,1270,16227183,151038144:3003,151038144:64839,0,0,0,31,
Rcv,Nrm,   64,   59,ID_INTERNAL_PING,40,16231664,151038144:3003,151038144:64839,0,0,0,31,
Snd,Nrm,4294967295,  101,ID_CONNECTED_PONG,72,16231694,151038144:3003,151038144:64839,0,0,0,31,
Rcv,Nrm,   65,   60,Unknown,296,16232134,151038144:3003,151038144:64839,0,0,0,12,
Snd,Nrm,4294967295,  102,ID_REPLICA_MANAGER_SERIALIZE,1270,16232195,151038144:3003,151038144:64839,0,0,0,32,
Rcv,Nrm,   66,   61,ID_INTERNAL_PING,40,16236666,151038144:3003,151038144:64839,0,0,0,32,
Snd,Nrm,4294967295,  104,ID_CONNECTED_PONG,72,16236696,151038144:3003,151038144:64839,0,0,0,32,
Rcv,Nrm,   67,   62,Unknown,296,16237136,151038144:3003,151038144:64839,0,0,0,13,
Snd,Nrm,4294967295,  105,ID_REPLICA_MANAGER_SERIALIZE,1270,16237196,151038144:3003,151038144:64839,0,0,0,33,
Rcv,Nrm,   68,   63,Unknown,544,16239486,151038144:3003,151038144:64839,0,0,0,25,
Snd,Nrm,4294967295,  107,Unknown,352,16239547,151038144:3003,151038144:64839,0,0,0,34,
Rcv,Nrm,   69,   64,ID_DISCONNECTION_NOTIFICATION,8,16239566,151038144:3003,151038144:64839,0,0,0,26,
