S|R,Typ,Pckt#,Frm #,PktID,BitLn,Time     ,Local IP:Port   ,RemoteIP:Port,SPID,SPIN,SPCO,OI,Suffix

Rcv,Raw,    0,    0,ID_OPEN_CONNECTION_REQUEST,16,14969203,151038144:3003,151038144:54262,-1,-1,-1,-1,
Snd,Raw,    0,    0,ID_OPEN_CONNECTION_REPLY,16,14969203,151038144:3003,151038144:54262,-1,-1,-1,-1,
Rcv,Nrm,    0,    0,ID_CONNECTION_REQUEST,72,14969213,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    1,ID_CONNECTION_REQUEST_ACCEPTED,120,14969242,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    1,    1,ID_NEW_INCOMING_CONNECTION,104,14969263,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    2,    1,ID_INTERNAL_PING,40,14969263,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    3,    2,ID_INTERNAL_PING,40,14969282,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    4,    2,Unknown,472,14969282,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,    3,ID_INTERNAL_PING,40,14969283,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,    3,ID_CONNECTED_PONG,72,14969283,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    4,ID_INTERNAL_PING,40,14969312,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    4,ID_CONNECTED_PONG,72,14969312,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    5,    3,ID_CONNECTED_PONG,72,14969333,151038144:3003,151038144:54262,0,0,0,2,
Rcv,Nrm,    6,    3,ID_CONNECTED_PONG,72,14969333,151038144:3003,151038144:54262,0,0,0,0,
Snd,Nrm,4294967295,    6,Unknown,472,14969362,151038144:3003,151038144:54262,0,0,0,0,
Rcv,Nrm,    7,    4,Unknown,1384,14969382,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,    8,Unknown,288,14969412,151038144:3003,151038144:54262,0,0,0,1,
Rcv,Nrm,    8,    5,ID_INTERNAL_PING,40,14974392,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,   10,ID_CONNECTED_PONG,72,14974422,151038144:3003,151038144:54262,0,0,0,1,
Snd,Nrm,4294967295,   10,ID_INTERNAL_PING,40,14974422,151038144:3003,151038144:54262,0,0,0,2,
Rcv,Nrm,    9,    6,ID_CONNECTED_PONG,72,14974442,151038144:3003,151038144:54262,0,0,0,2,
Rcv,Nrm,   10,    7,Unknown,128,14974472,151038144:3003,151038144:54262,0,0,0,4,
Snd,Nrm,4294967295,   13,Unknown,9840,14974562,151038144:3003,151038144:54262,0,0,0,2,
Snd,Nrm,4294967295,   13,Unknown,144,14974562,151038144:3003,151038144:54262,0,0,0,6,
Snd,Nrm,4294967295,   13,Unknown,144,14974562,151038144:3003,151038144:54262,0,0,0,7,
Snd,Nrm,4294967295,   13,Unknown,184,14974562,151038144:3003,151038144:54262,0,0,0,8,
Snd,Nrm,4294967295,   14,ID_REPLICA_MANAGER_CONSTRUCTION,3828,14974562,151038144:3003,151038144:54262,0,0,0,3,
Snd,Nrm,4294967295,   14,ID_REPLICA_MANAGER_SCOPE_CHANGE,25,14974562,151038144:3003,151038144:54262,0,0,0,4,
Snd,Nrm,4294967295,   14,ID_REPLICA_MANAGER_SERIALIZE,1078,14974562,151038144:3003,151038144:54262,0,0,0,5,
Rcv,Nrm,   11,    8,Unknown,216,14974612,151038144:3003,151038144:54262,0,0,0,5,
Rcv,Nrm,   12,    8,Unknown,216,14974612,151038144:3003,151038144:54262,0,0,0,6,
Rcv,Nrm,   13,    8,Unknown,216,14974612,151038144:3003,151038144:54262,0,0,0,7,
Rcv,Nrm,   14,    9,Unknown,152,14974672,151038144:3003,151038144:54262,0,0,0,8,
Snd,Nrm,4294967295,   17,Unknown,1640,14974702,151038144:3003,151038144:54262,0,0,0,9,
Rcv,Nrm,   15,   10,Unknown,208,14975062,151038144:3003,151038144:54262,0,0,0,9,
Rcv,Nrm,   16,   11,Unknown,208,14976192,151038144:3003,151038144:54262,0,0,0,10,
Rcv,Nrm,   17,   12,Unknown,184,14976302,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   18,   13,Unknown,144,14978224,151038144:3003,151038144:54262,0,0,0,12,
Snd,Nrm,4294967295,   22,ID_INTERNAL_PING,40,14979725,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   19,   14,ID_CONNECTED_PONG,72,14979744,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   20,   15,Unknown,296,14981884,151038144:3003,151038144:54262,0,0,0,13,
Snd,Nrm,4294967295,   25,ID_REPLICA_MANAGER_SERIALIZE,1270,14981944,151038144:3003,151038144:54262,0,0,0,10,
Rcv,Nrm,   21,   16,Unknown,144,14982354,151038144:3003,151038144:54262,0,0,0,14,
Rcv,Nrm,   22,   17,Unknown,144,14986554,151038144:3003,151038144:54262,0,0,0,15,
Rcv,Nrm,   23,   18,Unknown,296,14986904,151038144:3003,151038144:54262,0,0,0,16,
Snd,Nrm,4294967295,   29,ID_REPLICA_MANAGER_SERIALIZE,1270,14986965,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   24,   19,ID_INTERNAL_PING,40,14991564,151038144:3003,151038144:54262,0,0,0,11,
Snd,Nrm,4294967295,   31,ID_CONNECTED_PONG,72,14991594,151038144:3003,151038144:54262,0,0,0,11,
Rcv,Nrm,   25,   20,Unknown,296,14991924,151038144:3003,151038144:54262,0,0,0,17,
Snd,Nrm,4294967295,   33,ID_REPLICA_MANAGER_SERIALIZE,1270,14991984,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   26,   21,ID_INTERNAL_PING,40,14996574,151038144:3003,151038144:54262,0,0,0,12,
Snd,Nrm,4294967295,   35,ID_CONNECTED_PONG,72,14996604,151038144:3003,151038144:54262,0,0,0,12,
Rcv,Nrm,   27,   22,Unknown,296,14996934,151038144:3003,151038144:54262,0,0,0,18,
Snd,Nrm,4294967295,   37,ID_REPLICA_MANAGER_SERIALIZE,1270,14996994,151038144:3003,151038144:54262,0,0,0,13,
Rcv,Nrm,   28,   23,ID_INTERNAL_PING,40,15001584,151038144:3003,151038144:54262,0,0,0,13,
Snd,Nrm,4294967295,   39,ID_CONNECTED_PONG,72,15001615,151038144:3003,151038144:54262,0,0,0,13,
Rcv,Nrm,   29,   24,Unknown,296,15001954,151038144:3003,151038144:54262,0,0,0,19,
Snd,Nrm,4294967295,   41,ID_REPLICA_MANAGER_SERIALIZE,1270,15002015,151038144:3003,151038144:54262,0,0,0,14,
Rcv,Nrm,   30,   25,Unknown,544,15002485,151038144:3003,151038144:54262,0,0,0,20,
Snd,Nrm,4294967295,   43,Unknown,352,15002544,151038144:3003,151038144:54262,0,0,0,15,
Rcv,Nrm,   31,   26,ID_DISCONNECTION_NOTIFICATION,8,15002574,151038144:3003,151038144:54262,0,0,0,21,
